No.,Time,Source,Destination,Protocol,Length,Info
3562,23.189737,162.159.136.234,192.168.59.232,TCP,151,"[TCP Retransmission] 443  >  2247 [PSH, ACK] Seq=7074 Ack=52 Win=8 Len=97"
3563,23.189766,192.168.59.232,162.159.136.234,TCP,66,2247  >  443 [ACK] Seq=52 Ack=7171 Win=3573 Len=0 SLE=7074 SRE=7171
3564,23.750426,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,1288,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3565,23.750615,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,193,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3566,23.896382,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,1288,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3567,24.06524,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,89,Protected Payload (KP0)
3568,24.06524,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,87,Protected Payload (KP0)
3569,24.092981,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,95,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3570,24.235998,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,87,Protected Payload (KP0)
3571,24.235998,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,549,Protected Payload (KP0)
3572,24.235998,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,96,Protected Payload (KP0)
3573,24.236442,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,101,Protected Payload (KP0)
3574,24.236745,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,95,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3575,24.237005,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,99,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3576,24.237121,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,95,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3577,24.237213,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:826::200e,QUIC,95,"Protected Payload (KP0), DCID=37717138a9a4c11a"
3578,24.262421,162.159.136.234,192.168.59.232,TLSv1.2,139,Application Data
3579,24.308585,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=52 Ack=7256 Win=3573 Len=0
3580,24.331247,2404:6800:4009:826::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,87,Protected Payload (KP0)
3581,24.515469,162.159.136.234,192.168.59.232,TLSv1.2,167,Application Data
3582,24.556345,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=52 Ack=7369 Win=3572 Len=0
3583,24.977926,2404:6800:4009:826::2003,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,86,"[TCP Retransmission] 443  >  1069 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=256"
3584,27.090569,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,526,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3585,27.093599,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,310,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3586,27.094117,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,310,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3587,27.100549,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,305,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3588,27.210259,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,526,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3589,27.396408,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3590,27.397167,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,316,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3591,27.399078,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3592,27.399078,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3593,27.399078,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3594,27.399078,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3595,27.399078,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,94,Protected Payload (KP0)
3596,27.411568,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,96,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3597,27.443375,162.159.136.234,192.168.59.232,TLSv1.2,148,Application Data
3598,27.471417,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,91,Protected Payload (KP0)
3599,27.495499,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=52 Ack=7463 Win=3572 Len=0
3600,27.675539,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,96,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3601,27.741254,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,89,Protected Payload (KP0)
3602,27.783122,192.168.59.232,162.159.137.232,TCP,55,23415  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]
3603,27.79505,192.168.59.232,162.159.137.232,TCP,55,1349  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]
3604,27.799159,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,751,Protected Payload (KP0)
3605,27.799719,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,100,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3606,27.809036,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,341,Protected Payload (KP0)
3607,27.809147,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,277,Protected Payload (KP0)
3608,27.81134,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,747,Protected Payload (KP0)
3609,27.81134,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,739,Protected Payload (KP0)
3610,27.811487,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,363,Protected Payload (KP0)
3611,27.811891,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,100,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3612,27.811979,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,746,Protected Payload (KP0)
3613,27.8121,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,100,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3614,27.812125,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,98,Protected Payload (KP0)
3615,27.812278,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,100,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3616,27.813895,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,193,Protected Payload (KP0)
3617,27.814029,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,348,Protected Payload (KP0)
3618,27.815928,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,98,Protected Payload (KP0)
3619,27.815928,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3620,27.816033,162.159.136.234,192.168.59.232,TLSv1.2,237,Application Data
3621,27.816196,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,355,Protected Payload (KP0)
3622,27.818847,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,98,Protected Payload (KP0)
3623,27.818978,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,124,Protected Payload (KP0)
3624,27.826928,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,96,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3625,27.839125,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,470,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3626,27.840209,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,234,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3627,27.841003,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,224,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3628,27.842336,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,231,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3629,27.84329,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,225,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3630,27.858822,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=52 Ack=7646 Win=3571 Len=0
3631,27.866031,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3632,27.88517,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3633,27.905249,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3634,27.90596,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3635,27.90596,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
